order_id,created_at,customer_id,restaurant_id,ab_group,status,total_amount_usd,customer_city,customer_segment,restaurant_name,restaurant_category,restaurant_city,delivery_id,dasher_id,dasher_assigned_at,pickup_at,delivered_at,delivery_duration_minutes,stage_1_order_placed_at,stage_2_restaurant_confirmed_at,stage_3_dasher_assigned_at,stage_4_dasher_arrived_restaurant_at,stage_5_order_picked_up_at,stage_6_dasher_near_customer_at,stage_7_delivered_at,has_duplicate_flag,has_timestamp_issue_flag,has_missing_dasher_flag,has_outlier_flag
ORD_000001,2025-01-01T00:23:09,CUST_00069,REST_0035,B,delivered,41.93,São Paulo,new,Sabor & Arte 24,Mexican,Belo Horizonte,DEL_000000,DASH_0098,2025-01-01T00:27:41,2025-01-01T00:34:45,2025-01-01T00:45:47,23.3,2025-01-01T00:23:09,2025-01-01T00:24:48,2025-01-01T00:27:41,2025-01-01T00:32:02,2025-01-01T00:34:45,2025-01-01T00:43:01,2025-01-01T00:45:47,False,False,False,False
ORD_000002,2025-01-01T00:25:21,CUST_01442,REST_0053,A,delivered,75.78,Curitiba,new,Casa Portuguesa 39,Japanese,Brasília,DEL_000001,DASH_0036,2025-01-01T00:34:38,2025-01-01T00:49:42,2025-01-01T01:12:53,48.8,2025-01-01T00:25:21,2025-01-01T00:29:15,2025-01-01T00:34:38,2025-01-01T00:43:37,2025-01-01T00:49:42,2025-01-01T01:06:43,2025-01-01T01:12:53,False,False,False,False
ORD_000003,2025-01-01T00:47:39,CUST_00428,REST_0130,B,delivered,46.76,Porto Alegre,new,Urban Kitchen 29,Healthy,São Paulo,DEL_000002,DASH_0428,2025-01-01T00:58:42,2025-01-01T01:14:11,2025-01-01T01:39:39,53.4,2025-01-01T00:47:39,2025-01-01T00:51:24,2025-01-01T00:58:42,2025-01-01T01:07:45,2025-01-01T01:14:11,2025-01-01T01:32:40,2025-01-01T01:39:39,False,False,False,False
ORD_000004,2025-01-01T00:55:02,CUST_01423,REST_0016,B,delivered,15.87,Curitiba,returning,Verde & Co 12,Chinese,Brasília,DEL_000003,DASH_0089,2025-01-01T01:01:58,2025-01-01T01:12:20,2025-01-01T01:28:40,34.8,2025-01-01T00:55:02,2025-01-01T00:57:58,2025-01-01T01:01:58,2025-01-01T01:08:11,2025-01-01T01:12:20,2025-01-01T01:24:21,2025-01-01T01:28:40,False,False,False,False
ORD_000005,2025-01-01T00:55:40,CUST_01130,REST_0017,A,delivered,71.18,Curitiba,new,Sabor & Arte 28,Healthy,São Paulo,DEL_000004,DASH_0448,2025-01-01T01:02:02,2025-01-01T01:11:11,2025-01-01T01:26:18,31.5,2025-01-01T00:55:40,2025-01-01T00:58:05,2025-01-01T01:02:02,2025-01-01T01:07:50,2025-01-01T01:11:11,2025-01-01T01:22:12,2025-01-01T01:26:18,False,False,False,False
ORD_000006,2025-01-01T01:08:31,CUST_00406,REST_0046,B,delivered,8.29,Curitiba,returning,Verde & Co 40,Japanese,Belo Horizonte,DEL_000005,DASH_0323,2025-01-01T01:14:09,2025-01-01T01:22:09,2025-01-01T01:34:58,27.1,2025-01-01T01:08:31,2025-01-01T01:10:26,2025-01-01T01:14:09,2025-01-01T01:19:04,2025-01-01T01:22:09,2025-01-01T01:31:48,2025-01-01T01:34:58,False,False,False,False
ORD_000007,2025-01-01T01:14:08,CUST_00940,REST_0091,B,delivered,33.01,Curitiba,new,Nikkei House 8,Healthy,Porto Alegre,DEL_000006,DASH_0393,2025-01-01T01:20:27,2025-01-01T01:29:57,2025-01-01T01:44:42,31.7,2025-01-01T01:14:08,2025-01-01T01:16:44,2025-01-01T01:20:27,2025-01-01T01:26:17,2025-01-01T01:29:57,2025-01-01T01:40:47,2025-01-01T01:44:42,False,False,False,False
ORD_000008,2025-01-01T01:14:10,CUST_00074,REST_0122,B,delivered,25.78,São Paulo,vip,Sabor & Arte 32,Chinese,Belo Horizonte,DEL_000007,DASH_0173,2025-01-01T01:21:50,2025-01-01T01:32:44,2025-01-01T01:50:56,37.8,2025-01-01T01:14:10,2025-01-01T01:16:59,2025-01-01T01:21:50,2025-01-01T01:28:11,2025-01-01T01:32:44,2025-01-01T01:46:27,2025-01-01T01:50:56,False,False,False,False
ORD_000009,2025-01-01T01:43:03,CUST_01404,REST_0085,A,delivered,21.49,Rio de Janeiro,vip,Burger Lab 2,Pizza,Curitiba,DEL_000008,DASH_0005,2025-01-01T01:49:40,2025-01-01T02:00:05,2025-01-01T02:16:29,34.3,2025-01-01T01:43:03,2025-01-01T01:46:06,2025-01-01T01:49:40,2025-01-01T01:56:01,2025-01-01T02:00:05,2025-01-01T02:12:22,2025-01-01T02:16:29,False,False,False,False
ORD_000010,2025-01-01T02:17:23,CUST_00608,REST_0075,A,delivered,60.57,Curitiba,returning,Forno di Pietra 3,Dessert,Rio de Janeiro,DEL_000009,DASH_0009,2025-01-01T02:25:49,2025-01-01T02:38:57,2025-01-01T02:59:48,43.9,2025-01-01T02:17:23,2025-01-01T02:20:42,2025-01-01T02:25:49,2025-01-01T02:33:56,2025-01-01T02:38:57,2025-01-01T02:55:07,2025-01-01T02:59:48,False,False,False,False
ORD_000011,2025-01-01T02:20:33,CUST_00767,REST_0131,A,delivered,36.95,Curitiba,vip,Casa Portuguesa 9,Pizza,São Paulo,DEL_000010,DASH_0157,2025-01-01T02:29:10,2025-01-01T02:42:02,2025-01-01T03:01:27,42.3,2025-01-01T02:20:33,2025-01-01T02:24:05,2025-01-01T02:29:10,2025-01-01T02:36:12,2025-01-01T02:42:02,2025-01-01T02:56:23,2025-01-01T03:01:27,False,False,False,False
ORD_000012,2025-01-01T02:20:36,CUST_00315,REST_0026,B,delivered,26.4,Rio de Janeiro,new,Casa Portuguesa 10,Japanese,Porto Alegre,DEL_000011,,,2025-01-01T02:53:20,2025-01-01T03:23:18,64.3,2025-01-01T02:20:36,2025-01-01T02:25:17,,2025-01-01T02:44:49,2025-01-01T02:53:20,2025-01-01T03:15:29,2025-01-01T03:23:18,False,False,True,False
ORD_000013,2025-01-01T02:24:53,CUST_00730,REST_0136,B,delivered,12.19,Curitiba,returning,Tokyo Garden 2,Burger,Brasília,DEL_000012,DASH_0114,2025-01-01T02:30:35,2025-01-01T02:39:31,2025-01-01T02:53:03,28.9,2025-01-01T02:24:53,2025-01-01T02:26:57,2025-01-01T02:30:35,2025-01-01T02:35:58,2025-01-01T02:39:31,2025-01-01T02:49:18,2025-01-01T02:53:03,False,False,False,False
ORD_000014,2025-01-01T02:58:53,CUST_00792,REST_0047,B,delivered,44.91,Belo Horizonte,returning,Forno di Pietra 19,Seafood,São Paulo,DEL_000013,DASH_0004,2025-01-01T03:07:25,2025-01-01T03:21:37,2025-01-01T03:42:38,44.9,2025-01-01T02:58:53,2025-01-01T03:02:16,2025-01-01T03:07:25,2025-01-01T03:16:00,2025-01-01T03:21:37,2025-01-01T03:36:39,2025-01-01T03:42:38,False,False,False,False
ORD_000015,2025-01-01T03:12:12,CUST_00450,REST_0042,A,delivered,33.26,Rio de Janeiro,new,Urban Kitchen 41,Japanese,Brasília,DEL_000014,DASH_0044,2025-01-01T03:18:53,2025-01-01T03:29:20,2025-01-01T03:45:12,33.8,2025-01-01T03:12:12,2025-01-01T03:14:53,2025-01-01T03:18:53,2025-01-01T03:25:17,2025-01-01T03:29:20,2025-01-01T03:41:05,2025-01-01T03:45:12,False,False,False,False
ORD_000016,2025-01-01T03:15:29,CUST_01959,REST_0144,A,delivered,51.4,Curitiba,new,Urban Kitchen 29,Mexican,Brasília,DEL_000015,DASH_0381,2025-01-01T03:26:11,2025-01-01T03:42:29,2025-01-01T04:07:21,54.0,2025-01-01T03:15:29,2025-01-01T03:19:19,2025-01-01T03:26:11,2025-01-01T03:36:16,2025-01-01T03:42:29,2025-01-01T04:01:40,2025-01-01T04:07:21,False,False,False,False
ORD_000017,2025-01-01T03:20:53,CUST_00560,REST_0097,B,delivered,65.31,Brasília,vip,Doce Vida 18,Pizza,Belo Horizonte,DEL_000016,DASH_0117,2025-01-01T03:27:41,2025-01-01T03:37:39,2025-01-01T03:53:29,33.5,2025-01-01T03:20:53,2025-01-01T03:23:52,2025-01-01T03:27:41,2025-01-01T03:33:33,2025-01-01T03:37:39,2025-01-01T03:49:38,2025-01-01T03:53:29,False,False,False,False
ORD_000018,2025-01-01T03:26:10,CUST_00363,REST_0065,A,in_progress,60.55,Rio de Janeiro,returning,Mar e Terra 32,Burger,Brasília,DEL_000017,DASH_0151,2025-01-01T03:26:10,2025-01-01T03:26:10,2025-01-01T03:26:10,,2025-01-01T03:26:10,2025-01-01T03:26:10,2025-01-01T03:26:10,2025-01-01T03:26:10,2025-01-01T03:26:10,2025-01-01T03:26:10,2025-01-01T03:26:10,False,False,False,False
